N,оценочно,погрешность
100,0.903168,0.0437781191456953
600,0.936618666666667,0.00836249392886914
1100,0.941940363636364,0.00272818991710146
1600,0.950208,0.00602510381546635
2100,0.944981333333333,0.000491412375337344
2600,0.950931692307692,0.0067913072456382
3100,0.946060387096774,0.00163385189846077
3600,0.949511111111111,0.00528727829011584
4100,0.942941658536586,0.00166807696715202
4600,0.935073391304348,0.00999854183290732
5100,0.936372705882353,0.00862290293781638
5600,0.939008,0.00583280641338166
6100,0.93894924590164,0.00589501184409024
6600,0.940229818181818,0.0045392162065982
7100,0.940269971830986,0.00449670385238452
7600,0.9408,0.00393554077676596
8100,0.941729185185185,0.00295177340963182
8600,0.94196688372093,0.00270011199013251
9100,0.943694769230769,0.000870727056078939
9600,0.943282666666667,0.00130703734270456
10100,0.943035564356436,0.00156865493306714
10600,0.942811773584906,0.00180559161867841
11100,0.942382126126126,0.00226047742191601
11600,0.942097655172414,0.00256165876404417
12100,0.94339173553719,0.00119156155025558
12600,0.943886222222222,0.000668027735927728
13100,0.944055694656489,0.000488600154517603
13600,0.944766117647059,0.000263554492508539
14100,0.944803404255319,0.000303031390141474
14600,0.946470575342466,0.00206813541581254
15100,0.948359629139073,0.00406815598167236
15600,0.948599794871795,0.00432242952619585
16100,0.948045913043478,0.00373601157998448
16600,0.947978795180723,0.00366495108076079
17100,0.94813567251462,0.00383104370060828
17600,0.947285818181818,0.002931267237576
18100,0.947383867403315,0.00303507606494376
18600,0.947139440860215,0.00277629142158419
19100,0.948221319371728,0.00392172162408747
19600,0.9472,0.00284040792543287
20100,0.947415243781095,0.00306829555342731
20600,0.94688932038835,0.0025114783767825
21100,0.946328872037915,0.00191810817791092
21600,0.944923259259259,0.000429926914891439
22100,0.943865049773756,0.000690443896038678
22600,0.943797238938053,0.000762238074815777
23100,0.943623757575758,0.00094591007664414
23600,0.943245016949153,0.00134689867934951
24100,0.943402489626556,0.00118017574433648
24600,0.943451577235772,0.00112820463152974
25100,0.944298326693227,0.000231715430384692
25600,0.944034,0.000511569198186016
26100,0.944356536398468,0.000170086371528591
26600,0.944902736842105,0.00040819897022259
27100,0.94524363099631,0.000769117923624335
27600,0.945163130434783,0.000683888599341953
28100,0.944862291814947,0.000365378121896687
28600,0.945931636363637,0.0014975380917245
29100,0.946102103092784,0.0016780183748702
29600,0.946732972972973,0.00234594680392115
30100,0.946926139534884,0.00255046035305987
