size,merge,hybrid
46100,7,6
46200,7,6
46300,7,6
46400,7,6
46500,7,6
46600,8,7
46700,7,6
46800,7,6
46900,7,6
47000,7,6
47100,7,6
47200,7,6
47300,7,5
47400,6,5
47500,6,5
47600,7,6
47700,7,6
47800,9,7
47900,9,7
48000,7,6
48100,7,6
48200,7,6
48300,6,5
48400,6,5
48500,6,5
48600,6,5
48700,6,5
48800,6,5
48900,6,5
49000,6,5
49100,6,5
49200,6,5
49300,6,5
49400,6,5
49500,6,5
49600,6,5
49700,6,5
49800,6,5
49900,6,5
50000,6,5
50100,7,5
50200,7,5
50300,6,5
50400,6,5
50500,6,5
50600,5,4
50700,5,4
50800,6,5
50900,6,5
51000,6,5
51100,6,5
51200,6,5
51300,6,5
51400,6,5
51500,6,5
51600,5,5
51700,5,5
51800,5,5
51900,6,5
52000,5,5
52100,5,5
52200,6,5
52300,5,5
52400,6,5
52500,6,5
52600,6,5
52700,6,5
52800,6,5
52900,6,5
53000,6,5
53100,6,5
53200,6,5
53300,6,5
53400,6,5
53500,5,4
53600,5,4
53700,5,4
53800,5,4
53900,5,4
54000,5,4
54100,5,4
54200,5,4
54300,5,4
54400,5,4
54500,5,4
54600,5,4
54700,5,4
54800,5,4
54900,5,4
55000,5,4
55100,5,4
55200,5,4
55300,5,4
55400,5,4
55500,5,4
55600,5,4
55700,5,4
55800,5,4
55900,5,4
56000,5,4
56100,5,4
56200,5,4
56300,5,4
56400,5,4
56500,6,4
56600,5,4
56700,5,4
56800,5,4
56900,5,4
57000,5,4
57100,5,4
57200,5,4
57300,5,4
57400,5,4
57500,5,5
57600,5,4
57700,5,5
57800,5,4
57900,5,5
58000,5,5
58100,6,5
58200,6,5
58300,5,5
58400,5,5
58500,5,5
58600,5,5
58700,5,5
58800,5,5
58900,5,5
59000,5,5
59100,5,5
59200,5,5
59300,5,4
59400,5,4
59500,5,4
59600,5,4
59700,6,5
59800,6,5
59900,6,5
60000,6,5
60100,6,5
60200,6,5
60300,6,5
60400,6,5
60500,6,5
60600,6,5
60700,6,5
60800,6,5
60900,6,5
61000,6,5
61100,7,6
61200,7,6
61300,7,6
61400,6,5
61500,6,5
61600,6,5
61700,6,5
61800,6,5
61900,6,5
62000,6,5
62100,6,5
62200,6,5
62300,6,5
62400,6,5
62500,6,5
62600,6,5
62700,6,5
62800,6,5
62900,6,5
63000,6,5
63100,6,5
63200,7,5
63300,8,6
63400,8,6
63500,8,6
63600,8,7
63700,9,7
63800,9,7
63900,9,7
64000,8,6
64100,8,6
64200,8,6
64300,7,6
64400,8,6
64500,8,6
64600,7,6
64700,7,6
64800,7,6
64900,7,6
65000,7,6
65100,7,6
65200,7,6
65300,7,6
65400,7,6
65500,7,6
65600,7,5
65700,7,5
65800,7,5
65900,7,5
66000,7,5
66100,7,5
66200,7,5
66300,7,5
66400,7,5
66500,6,5
66600,7,5
66700,6,5
66800,6,5
66900,6,5
67000,6,5
67100,6,5
67200,6,5
67300,6,5
67400,6,5
67500,6,5
67600,6,5
67700,6,5
67800,6,5
67900,6,5
68000,6,5
68100,6,5
68200,6,5
68300,6,5
68400,6,5
68500,6,5
68600,6,5
68700,6,5
68800,6,5
68900,6,5
69000,6,5
69100,6,5
69200,6,5
69300,6,5
69400,6,5
69500,6,5
69600,7,5
69700,6,5
69800,6,5
69900,6,5
70000,7,5
70100,6,5
70200,7,5
70300,7,5
70400,7,5
70500,7,5
70600,7,5
70700,7,5
70800,7,5
70900,7,6
71000,7,5
71100,7,6
71200,8,6
71300,8,6
71400,7,6
71500,7,6
