N,оценочно,погрешность
100,0.583328157299975,0.382405988997996
600,0.729160196624968,0.228007486247496
1100,0.85731562512269,0.0923239535273584
1600,0.874992235949962,0.0736089834969947
2100,0.861103470299963,0.0883136028065663
2600,0.904906500426884,0.0419374957533022
3100,0.937715693724153,0.00720102532473627
3600,0.929004102366627,0.016424352848661
4100,0.922417289388984,0.0233980882935798
4600,0.915148884459743,0.0310934537541031
5100,0.915024560470549,0.0312250807811709
5600,0.913186341487461,0.033171280395673
6100,0.924399812114714,0.0212991082481911
6600,0.92360291572496,0.0221428159134943
7100,0.932503462726016,0.0127194331165155
7600,0.927440600970355,0.0180796974200602
8100,0.947008057838848,0.00263719070078348
8600,0.954125900699959,0.0101731497784709
9100,0.947641163965344,0.00330748673768714
9600,0.944870088126522,0.000373632404286962
10100,0.939485613077187,0.00532713739611307
10600,0.94378093374477,0.0007795010675132
11100,0.952068629106716,0.00799502996873544
11600,0.959641867971941,0.0160131359156524
12100,0.976231007051611,0.0335767539496339
12600,0.974528389774958,0.0317741215549344
13100,0.970729299934309,0.0277518656369219
13600,0.96863928081062,0.0255390746418074
14100,0.975661161441447,0.0329734344773464
14600,0.978206693006464,0.0356684956186565
15100,0.985090596764858,0.0429567735464299
15600,0.977199306246112,0.0346019329606213
16100,0.975232892380393,0.0325200080416518
16600,0.973970608021946,0.0311835745947107
17100,0.976193417235923,0.0335369560335673
17600,0.978289930471833,0.0357566226179435
18100,0.978122075914599,0.0355789079508734
18600,0.986849068980602,0.0448185419101995
19100,0.980357793158596,0.0379459556630531
19600,0.976677841601743,0.0340498364480824
20100,0.98043629755145,0.0380290715597522
20600,0.98778789096185,0.0458125121579235
21100,0.99202647919972,0.0503000834812903
21600,0.989317353198568,0.0474318180419782
22100,0.984531233813985,0.042364552505644
22600,0.986839817733143,0.0448087472261034
23100,0.982735387659048,0.0404632147833176
23600,0.978392919200169,0.0358656611085863
24100,0.975440860547261,0.0327401926714001
24600,0.975375265729226,0.0326707446835669
25100,0.977636300813504,0.0350645974562132
25600,0.976770846728864,0.034148304880959
26100,0.974821064913176,0.0320839890116497
26600,0.976599521494695,0.0339669156625022
27100,0.972931096308445,0.0300829999000206
27600,0.976088359829849,0.0334257273469516
28100,0.973943512929673,0.0311548878829418
28600,0.970513921381951,0.0275238353209324
29100,0.971211313442741,0.0282621935755007
29600,0.971556694421917,0.0286278629188776
30100,0.976089530099958,0.033426966361049
30600,0.975073047251428,0.0323507732925647
31100,0.974089248738865,0.0313091845028097
31600,0.969752295258186,0.0267174697670438
32100,0.969184892710238,0.0261167368672956
32600,0.967441995031247,0.0242714579194783
33100,0.965458032751771,0.0221709537580995
33600,0.967873356234333,0.0247281581357648
34100,0.963945503338815,0.020569575365481
34600,0.962098078321346,0.0186136289358672
35100,0.96362709365936,0.0202324616695016
35600,0.963201503182121,0.0197818711629525
36100,0.964134258141233,0.020769417999618
36600,0.962385206692991,0.0189176237979321
37100,0.96225561258109,0.0187804170706905
37600,0.96342230234916,0.0200156405112878
38100,0.96098593192988,0.0174361528580688
38600,0.964405662479103,0.0210567651669566
39100,0.961024436472465,0.0174769192339061
